,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,F,F,F,F,,F,DR,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,F,F,F,F,
,F,,,,,,F,,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,,F,,,,,,,,,,F,
,F,,F,F,F,F,F,,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,,F,,,,,,,,,,F,
,F,,,,,,,,DT,,DPT,,,,,,,,,,F,,,,,,F,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,,F,,,,,,,,,,F,
,F,F,F,F,F,,,,F,,F,,F,F,F,F,F,F,F,F,F,,,,F,,F,,F,F,F,F,F,F,F,DL,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,F,F,,F,
,F,,F,,F,,,,F,,F,,,,,,,,,,F,,,,F,,F,,F,F,F,F,F,F,F,,,,,,,,,,F,,,,,,,,F,,F,
,F,,F,,F,F,F,F,F,,F,F,F,,F,F,F,F,F,F,F,,,,F,F,F,,F,F,F,F,F,F,F,,,,,,,,F,F,F,,F,F,F,F,F,,F,,F,
,,,F,,,,,,DPB,,,,F,,F,,,,,,,,,,,,F,,F,F,F,F,F,F,F,,,,,,,,F,,,,F,,,,F,,F,,F,
,F,F,F,,F,F,F,F,F,F,F,,F,,F,,F,F,F,F,F,F,F,F,F,,F,,F,F,F,F,F,F,F,,,,,,,,F,,F,F,F,,,,F,,F,,F,
,F,,F,,F,F,F,F,F,F,F,,F,,F,,F,F,F,F,F,F,F,F,F,,F,,F,F,F,F,F,F,F,,,,,,,,F,,F,,,,,,F,,F,,F,
,F,,F,,F,F,F,F,F,F,F,,F,F,F,,F,F,F,F,F,F,F,F,F,DPL,F,,F,F,F,F,F,F,F,DL,F,F,F,F,F,F,F,,F,,,,,,F,,F,,F,
,F,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,DB,,,,,,F,,,,F,
,F,F,F,F,F,F,F,F,F,F,F,,,,,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,F,F,F,F,F,F,DL,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,
,F,,,,,,,,F,,F,,,,,,F,,,,,,F,,,,,,,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,F,F,,,,,,,,F,
,F,,,,,,,,F,,F,F,F,F,F,,F,,,,F,F,F,F,F,F,F,,F,DSR,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,F,F,DSL,F,F,F,,F,,F,
,F,,,,,,,,F,,,,,,,,F,,,,DB,,,,,,F,,F,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,F,F,,F,,F,,F,,F,
,F,,,,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,F,,F,,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,F,F,,F,,F,,F,F,F,
,F,,,,,,,,DB,,,,,,,,,,,,F,F,F,F,F,,,,F,,DT,,,,,,,,F,F,F,F,F,F,F,F,F,,F,,F,,,,,
,F,,F,,F,F,F,F,F,F,F,,,,,,,,,,F,F,F,F,F,DL,F,F,F,,F,F,F,,,,,,F,F,F,F,F,F,F,F,F,,F,,F,,F,F,F,
,F,,F,,F,F,F,F,F,F,F,,,,,,,,,,F,F,F,F,F,,,,,,F,,F,,,,,,F,F,F,F,F,F,F,F,F,,,,F,,F,,F,
,F,F,F,,F,F,F,F,F,F,F,DL,F,F,F,F,F,F,F,DR,F,F,F,F,F,,F,F,F,F,F,,F,,,,F,DR,F,F,F,F,F,F,F,F,F,,F,F,F,,F,,F,
,,,,,F,F,F,F,F,F,F,,,,,,,,DB,,F,F,F,F,F,,F,,,,F,,,,,,F,,F,F,F,F,F,F,F,F,F,,F,,,,F,,F,
,F,F,F,DR,F,F,F,F,F,F,F,,F,F,F,F,F,F,F,,F,F,F,F,F,,F,,F,,F,,,,,,F,,F,F,F,F,F,F,F,F,F,,F,F,F,F,F,,F,
,F,,,,,,,,,,,,F,F,F,F,F,F,F,,F,F,F,F,F,,DB,,DB,,F,,,,,,F,,,,,,,,DT,,,,,,,,,,F,
